City,Price(P),Change(P),Price(D),Change(D)
Aizawl,99.21 ₹/L,  NA,87.99 ₹/L,  0.00
Champhai,101.47 ₹/L,  NA,89.63 ₹/L,  0.00
Kolasib,98.09 ₹/L,  NA,86.95 ₹/L,- 0.09
Lawngtlai,101.52 ₹/L,  NA,89.93 ₹/L,  0.00
Lunglei,101.15 ₹/L,  NA,89.31 ₹/L,  0.00
Mamit,100.27 ₹/L,  NA,88.92 ₹/L,+ 1.05
Saiha,102.29 ₹/L,  NA,90.69 ₹/L,  0.00
Serchhip,99.98 ₹/L,  NA,88.71 ₹/L,  0.00
