City,Price(P),Change(P),Price(D),Change(D)
East Garo Hills,95.62 ₹/L,  0.00,87.09 ₹/L,  0.00
East Jaintia Hills,96.07 ₹/L,+ 0.01,87.48 ₹/L,+ 0.14
East Khasi Hills,96.20 ₹/L,- 0.02,87.47 ₹/L,- 0.26
North Garo Hills,95.02 ₹/L,  0.00,86.49 ₹/L,  0.00
Ri Bhoi,94.43 ₹/L,+ 0.09,85.90 ₹/L,+ 0.09
South Garo Hills,96.33 ₹/L,  0.00,87.81 ₹/L,  0.00
Southwest Khasi Hils,96.33 ₹/L,  0.00,87.81 ₹/L,  0.00
West Garo Hills,95.70 ₹/L,  0.00,87.16 ₹/L,+ 0.61
West Khasi Hills,95.72 ₹/L,- 0.52,86.99 ₹/L,- 0.68
